id,article_title,article_url,comment,topic,score
19205229,مهرجان تجويد القرآن يكرم الهيلالي,https://www.hespress.com/%d9%85%d9%87%d8%b1%d8%ac%d8%a7%d9%86-%d8%aa%d8%ac%d9%88%d9%8a%d8%af-%d8%a7%d9%84%d9%82%d8%b1%d8%a2%d9%86-%d9%8a%d9%83%d8%b1%d9%85-%d8%a7%d9%84%d9%87%d9%8a%d9%84%d8%a7%d9%84%d9%8a-1471229.html,هذه هي المهرجانات التي نحتاجها لتنمية أبنائنا أخلاقيا و دينيا و علميا بعيدا السوشيال ميديا و مهرجانات الرقص,فن وثقافة,0
19205202,قيادات فلسطينية: الرسالة الملكية تؤكد دور المغرب في الدفاع عن القضية العادلة,https://www.hespress.com/%d9%82%d9%8a%d8%a7%d8%af%d8%a7%d8%aa-%d9%81%d9%84%d8%b3%d8%b7%d9%8a%d9%86%d9%8a%d8%a9-%d8%a7%d9%84%d8%b1%d8%b3%d8%a7%d9%84%d8%a9-%d8%a7%d9%84%d9%85%d9%84%d9%83%d9%8a%d8%a9-%d8%aa%d8%b9%d9%83%d8%b3-1471506.html,القضية الفلسطينية هي القضية الثانية للدولة المغربية بعد الوحدة الترابية. حفظ الله مولانا أمير المؤمنين وحامي حمى الملة والدين جلالة الملك محمد السادس.,سياسة,-1
19205152,انتقادات لحديقة الحيوانات في البيضاء,https://www.hespress.com/%d8%a7%d9%86%d8%aa%d9%82%d8%a7%d8%af%d8%a7%d8%aa-%d9%84%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d8%a7%d9%84%d8%ad%d9%8a%d9%88%d8%a7%d9%86%d8%a7%d8%aa-%d9%81%d9%8a-%d8%a7%d9%84%d8%a8%d9%8a%d8%b6%d8%a7%d8%a1-1471352.html,100 درهم واش غادي نلقاو ملكة جمال الادغال ديال الغابة را كازا براسها غول,جهات,5
19205185,انتقادات لحديقة الحيوانات في البيضاء,https://www.hespress.com/%d8%a7%d9%86%d8%aa%d9%82%d8%a7%d8%af%d8%a7%d8%aa-%d9%84%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d8%a7%d9%84%d8%ad%d9%8a%d9%88%d8%a7%d9%86%d8%a7%d8%aa-%d9%81%d9%8a-%d8%a7%d9%84%d8%a8%d9%8a%d8%b6%d8%a7%d8%a1-1471352.html,وأين هي الأموال التي تنفقها الجماعة على المهراجانات التافهة،  كان الأولى أن تنفقها على الحديقة عوض تحميل المواطن الفقير تكاليف تسييرها ، الدخول إلى الحديقة يجب أن يكون بثمن رمزي لايتعدى عشرين درهم للكبار وعشرة دراهم للصغار ، نحن نعيش في المغرب وليس في السويد.,جهات,10
19205199,انتقادات لحديقة الحيوانات في البيضاء,https://www.hespress.com/%d8%a7%d9%86%d8%aa%d9%82%d8%a7%d8%af%d8%a7%d8%aa-%d9%84%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d8%a7%d9%84%d8%ad%d9%8a%d9%88%d8%a7%d9%86%d8%a7%d8%aa-%d9%81%d9%8a-%d8%a7%d9%84%d8%a8%d9%8a%d8%b6%d8%a7%d8%a1-1471352.html,المغاربة بغاو كلشي بالمجان،واش ما فكروش بان حديقة الحيوانات تتطلب نقود كثيرة لاكل الحيوانات و تطبيبهم و صيانة الحديقة ووووو، و خصوصا النظافة لان اكيد زوارها سملأونها بالازبال. زائد نفترض انا خلصت 80 درهم باش ندخل،ماشي غادي ندخل ليها يوميا ولا اسبوعيا و لا حتى شهريا، هي تتكون زيارة وحدة فقط ولا  فالعام كاع,جهات,-3
19205204,انتقادات لحديقة الحيوانات في البيضاء,https://www.hespress.com/%d8%a7%d9%86%d8%aa%d9%82%d8%a7%d8%af%d8%a7%d8%aa-%d9%84%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d8%a7%d9%84%d8%ad%d9%8a%d9%88%d8%a7%d9%86%d8%a7%d8%aa-%d9%81%d9%8a-%d8%a7%d9%84%d8%a8%d9%8a%d8%b6%d8%a7%d8%a1-1471352.html,إذا كانت الشركة التي ستدبر هذا المشروع العمومي هي نفسها تملك مشروع خاص وتقدم فيه نفس الخدمات إذن من الطبيعي أن تكون الأثمنة أغلى لكي لا يتناطح العنزان و تشتبك الغزلان,جهات,0
19205211,انتقادات لحديقة الحيوانات في البيضاء,https://www.hespress.com/%d8%a7%d9%86%d8%aa%d9%82%d8%a7%d8%af%d8%a7%d8%aa-%d9%84%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d8%a7%d9%84%d8%ad%d9%8a%d9%88%d8%a7%d9%86%d8%a7%d8%aa-%d9%81%d9%8a-%d8%a7%d9%84%d8%a8%d9%8a%d8%b6%d8%a7%d8%a1-1471352.html,"السلام
على رءيس المقاطعة و هدا المستشار الكلايبي ان برفضوا هده التعريفة و ان تساهم المقاطعة و لو ب 1٪ في دعم تعريفة الولوج الحديقة لان 80 درهم مبلغ مبالغ فيه كتيرا مع العالم ان الساكنة في العمالة و العملات المجاورة من الطبقة الفقيرة و المتوسطة لان  مقاطعة عين السبع من أغنى الجماعات على المستوى الوطني و دلك لوجود احياء صناعية في شارع الشفشاوني و منطقة عكاشة ناهيك عن معارض السيارات الفارهة في شارع مولاي سليمان دون الحديت عن المطاعم و المقاهي الشاطءية و الاسواق البلدية و جزء من ميناء و ملعب العربي الأولي   يعني توجد مداخيل و ضراءب و رسوم تضخ في ميزانية الجماعة و مع دلك يظهر ان الجماعة تعاني مع المكتب و المجلس الجماعي لا بنية تحتية لا طرق لا فضاءات شوارع ضيقة ازدحام وقت الدروة خصوصا شارع مولاي اسماعيل .",جهات,1
19205221,انتقادات لحديقة الحيوانات في البيضاء,https://www.hespress.com/%d8%a7%d9%86%d8%aa%d9%82%d8%a7%d8%af%d8%a7%d8%aa-%d9%84%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d8%a7%d9%84%d8%ad%d9%8a%d9%88%d8%a7%d9%86%d8%a7%d8%aa-%d9%81%d9%8a-%d8%a7%d9%84%d8%a8%d9%8a%d8%b6%d8%a7%d8%a1-1471352.html,ليست لهم أفكا  للعمال عليها سوى.طباقيية بينا  لمواطنيين لنهب جييوبهم  من 5دراهم إلى 100درهم  يجب تهيأت محلات تجارية ومقاهي وأكشاك لإرادت لموارد المالية .معا.تدكيرات.20للمواطنيين,جهات,1
19205223,انتقادات لحديقة الحيوانات في البيضاء,https://www.hespress.com/%d8%a7%d9%86%d8%aa%d9%82%d8%a7%d8%af%d8%a7%d8%aa-%d9%84%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d8%a7%d9%84%d8%ad%d9%8a%d9%88%d8%a7%d9%86%d8%a7%d8%aa-%d9%81%d9%8a-%d8%a7%d9%84%d8%a8%d9%8a%d8%b6%d8%a7%d8%a1-1471352.html,على المسؤولين على حديقة الحيوانات اعادة النظر في اثمنة ولوج الحديقة لانه مبالغ فيها كثير اد كيف يعقل موضف عادي ابغا ايساري اوليداتو مثلا عندو  2 اولاد او هو او الزوجة بالنسبة له مبلغ خيالي و ادا دخل مرة فانه لم يعد مرة ثانية الى الابد في الدول المتقدمة يكون الثمن رمزي,جهات,0
19205225,انتقادات لحديقة الحيوانات في البيضاء,https://www.hespress.com/%d8%a7%d9%86%d8%aa%d9%82%d8%a7%d8%af%d8%a7%d8%aa-%d9%84%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d8%a7%d9%84%d8%ad%d9%8a%d9%88%d8%a7%d9%86%d8%a7%d8%aa-%d9%81%d9%8a-%d8%a7%d9%84%d8%a8%d9%8a%d8%b6%d8%a7%d8%a1-1471352.html,والله لا مشيت ليها. حديقة الرباط ديت ليها ولادي وتهنييييت، لا علاقة مع حديقة عين الضبع، الهايش مايش فينما مشيت فهاد كازا. كرهتوني فيها، أكبر أمنية عندي نخرج منها,جهات,0
